game_id,title,tip_id,description,,en_title,en_description,de_title,de_description,es_title,es_description,,,,,br_title,br_description,fr_title,fr_description,sv_title,sv_description
Texas Holdem,Tip 1,texas_holdem_tip_1,"A player's position at a poker table is very important in Texas Hold’em. Before playing a hand, always be aware of your table position in relation to the dealer button. The closer you are to the button, the more information you can learn about your opponent’s play. You will also have fewer players left to act after you.",,Tip 1,"A player's position at a poker table is very important in Texas Hold’em. Before playing a hand, always be aware of your table position in relation to the dealer button. The closer you are to the button, the more information you can learn about your opponent’s play. You will also have fewer players left to act after you.",Tipp 1,"Die Position eines Spieler ist beim Texas Hold’em sehr wichtig. Bevor Sie sich entscheiden, eine Hand zu spielen, vergewissern Sie sich Ihrer Position in Bezug auf den Dealer-Button. Je näher Sie sich am Button befinden, umso mehr Informationen bzgl. der Spielweise Ihrer Gegner können Sie erhalten. Sie werden auch weniger Spieler links von sich haben, die nach Ihnen am Zug sind.",Consejo 1,"La posición del jugador en la mesa de póker es muy importante en Texas Hold’em. Antes de jugar la mano, date cuenta de tu posición en la mesa en relación al dealer. Cuanto más cerca estés del botón más información puedes obtener del juego de tus rivales. También tendrás menos jugadores que actúen después de ti.",,,,,Dica 1,"A posição de um jogador numa mesa de pôquer é muito importante no Texas Hold’em. Antes de jogar uma mão, sempre esteja atento à sua posição na mesa em relação ao botão dealer. Quanto mais próximo do botão você estiver, mais informações poderá aprender sobre a jogada do adversário. Também haverá menos pessoas jogando depois de você.",Conseil 1,"La place du joueur à la table de poker est très importante au Texas Hold’em. Avant de jouer une main, déterminez toujours votre place à la table, par rapport au bouton croupier. Plus vous serez près du bouton, plus vous pourrez obtenir des informations à propos des jeux de vos adversaires. Il y aura aussi moins de joueurs qui agiront après vous.",Tips 1,"Spelarens position vid pokerbordet är mycket viktig i Texas Hold’em. Innan du spelar din hand ska du uppmärksamma din position i förhållande till givenknappen. Ju närmare knappen du sitter, desto mer information kan du få om dina motståndares spel. Du har också färre spelare som kan agera efter dig."
Texas Holdem,Tip 2,texas_holdem_tip_2,"There are 169 possible starting hands in Texas Hold’em. Out of those only five are regarded as premium hands combinations: A-A, K-K, Q-Q, A-K suited and J-J. So, one of the smartest poker tips is to fold more hands than you play.",,Tip 2,"There are 169 possible starting hands in Texas Hold’em. Out of those only five are regarded as premium hands combinations: A-A, K-K, Q-Q, A-K suited and J-J. So, one of the smartest poker tips is to fold more hands than you play.",Tipp 2,"Es gibt 169 mögliche Starthände beim Texas Hold’em. Von diesen werden nur fünf als Premium-Handkombinationen angesehen: A-A, K-K, Q-Q, A-K gleicher Farbe und J-J. Einer der klügsten Pokertipps ist daher, bei mehr Händen auszusteigen, als Sie spielen.",Consejo 2,"Hay 169 posibles manos iniciales en Texas Hold’em. De esas solo cinco se consideran premium:: A-A, K-K, Q-Q, A-K del mismo palo y J-J. Así, uno de los consejos más inteligentes es tirar más manos de las que juegas. ",,,,,Dica 2,"Existem 169 mãos iniciais possíveis no Texas Hold’em. Dessas, apenas cinco são consideradas combinações de mãos premium: A-A, K-K, Q-Q, A-K do mesmo naipe e J-J. Portanto, uma das dicas de pôquer mais inteligentes é desistir mais vezes do que você joga.",Conseil 2,"Il y a 169 mains de départ possibles au Texas Hold’em. Sur celles-ci, seulement cinq sont considérés comme des mains de qualité : A-A, K-K, Q-Q, A-K assortis et J-J. Un des plus judicieux conseils au poker est donc de passer sur plus de mains que vous en jouez.",Tips 2,"Det finns 169 möjliga starthänder i Texas Hold’em. Av dessa betraktas endast fem som prima kombinationer: A-A, K-K, Q-Q, A-K i färg och J-J. Därför är ett av de smartaste pokertipsen att lägga dig oftare än du spelar."
Texas Holdem,Tip 3,texas_holdem_tip_3,"It is vital that you keep your concentration levels high at the poker table to achieve better results. If you lose control and allow your emotions influence your decisions, you are no longer playing effectively. Losing control of your emotions is known as ‘tilting’ in poker.",,Tip 3,"It is vital that you keep your concentration levels high at the poker table to achieve better results. If you lose control and allow your emotions influence your decisions, you are no longer playing effectively. Losing control of your emotions is known as ‘tilting’ in poker.",Tipp 3,"Es ist unerlässlich, dass Sie am Pokertisch ein hohes Konzentrationslevel beibehalten um die besten Resultate zu erzielen. Wenn Sie die Kontrolle verlieren und Ihren Emotionen erlauben Ihre Entscheidungen zu beeinflussen, dann spielen Sie nicht länger effektiv. Der Verlust der Kontrolle über die eigenen Emotionen wird in der Pokerwelt als 'Tilting' bezeichnet.",Consejo 3,"Es vital que mantengas tu concentración al más alto nivel cuando juegas al póker si quieres tener los mejores resultados. Si pierdes el control y dejas que las emociones influyan en tus resultados, dejas de jugar bien. Perder el control y dejarlo bajo las emociones se conoce como “tilt” en el póker.",,,,,Dica 3,"É vital que você mantenha seus níveis de concentração altos na mesa de pôquer para conseguir resultados melhores. Se você perder o controle e permitir que as emoções influenciem as decisões, não estará mais jogando de forma eficaz. No pôquer, perder o controle das emoções é conhecido como ""dar tilt"".",Conseil 3,"Il est primordial de vous concentrer sur ce qui se passe à la table de poker afin d’atteindre les meilleurs résultats. Si vous perdez le contrôle et que vous laissez vos émotions prendre le dessus, vous ne jouez plus de manière efficace. Lorsqu’un joueur perd le contrôle de ses émotions, on dit qu’il « tilte ».",Tips 3,Det är ytterst viktigt att din koncentration är på topp vid pokerbordet för att uppnå bra resultat. Om du tappar kontrollen och låter känslorna styra dina beslut spelar du inte längre effektivt. Att tappa kontrollen över känslorna i poker kallas att ”tilta”.
Omaha HI,Tip 1,omaha_hi_tip_1,"If you are already familiar with Texas Hold'em rules, Omaha can seem very similar. However, it is very important to remember that a player can only – and must only - use any two of their four hole cards and any three of the five community cards to form a hand.",,Tip 1,"If you are already familiar with Texas Hold'em rules, Omaha can seem very similar. However, it is very important to remember that a player can only – and must only - use any two of their four hole cards and any three of the five community cards to form a hand.",Tipp 1,"Wenn Sie sich bereits mit den Regeln für Texas Hold'em auskennen, dann scheint Omaha sehr ähnlich zu sein. Es ist jedoch wichtig, daran zu denken, dass ein Spieler zwei – und nur zwei – seiner vier Taschenkarten zusammen mit drei der fünf Gemeinschaftskarten verwenden muss, um eine Hand zu bilden.",Consejo 1,"Si ya conoces las reglas de Texas Hold’em, Omaha es muy parecido. De todas formas es importante recordar que el jugador solo puede usar dos, y solo dos, de sus cuatro cartas particulares y tres de las cinco cartas comunitarias para formar su mano.",,,,,Dica 1,"Se você já estiver familiarizado com as regras do Texas Hold'em, o Omaha pode parecer muito semelhante. No entanto, é muito importante se lembrar que um jogador deve usar duas – e apenas duas – das suas quatro cartas fechadas e três cartas da mesa para formar uma mão.",Conseil 1,"Si vous connaissez déjà bien les règles du Texas Hold'em, Omaha peut paraître très semblable. Toutefois, il est important de se rappeler qu'un joueur doit uniquement utiliser deux de ses quatre cartes fermées et trois des cinq cartes communautaires pour constituer une main.",Tips 1,Om du redan känner till reglerna i Texas Hold'em kan Omaha verka väldigt likt. Men då ska man komma ihåg att en spelare bara kan – och bara får – använda två valfria av sina fyra hålkort och tre valfria gemensamma kort för att sätta ihop en hand.
Omaha HI,Tip 2,omaha_hi_tip_2,"Unlike Hold'em, Omaha Hi is a game of big draws. With four starting cards, the average winning had in PLO is much stronger, as well. Therefore, you should be very picky when choosing to play a hand. When drawing, look for connected hands like A♥K♣J♣10♥ that can make nut-straights and flushes.",,Tip 2,"Unlike Hold'em, Omaha Hi is a game of big draws. With four starting cards, the average winning had in PLO is much stronger, as well. Therefore, you should be very picky when choosing to play a hand. When drawing, look for connected hands like A♥K♣J♣10♥ that can make nut-straights and flushes.",Tipp 2,"Anders als Hold'em ist Omaha Hi ein Spiel der großen Draws. Mit vier Startkarten ist die durchschnittliche Gewinnhand in PLO darüber hinaus sehr viel stärker. Daher sollten Sie es sich sorgfältig überlegen, ob Sie eine Hand spielen sollten. Bei einem Drawing sollten Sie nach Händen mit verbundenen Karten wie A♥K♣J♣10♥ Ausschau halten, die Nut-Straights und Flushes bilden können.",Consejo 2,"A diferencia del Hold’em, Omaha es un juego de grandes proyectos. Con cuatro cartas iniciales la mano media ganadora en PLO es mucho maś fuerte. Así que, debes ser exigente cuando decidas jugar una mano. Busca manos conectadas como A♥K♣J♣10♥ que puedan formar las mejoras escaleras y colores.",,,,,Dica 2,"Diferentemente do Texas Hold'em, o Omaha Hi é um jogo de grandes cartadas. Com quatro cartas iniciais, a média de ganhos no PLO é muito mais forte também. Portanto, você deve ser muito meticuloso ao escolher jogar uma mão. Quando receber as cartas, busque mãos conectadas como A♥K♣J♣10♥ que podem fazer straights e flushes.",Conseil 2,"Contrairement au poker Hold'em, Omaha Hi est un jeu à forts tirages. Avec quatre cartes de départ, les gains moyens au PLO sont également passablement plus importants. Par conséquent, vous devez être très sélectif lorsque vous choisissez de jouer une main. Lors du tirage, cherchez des mains connectées comme A♥K♣J♣10♥ des quintes et des couleurs.",Tips 2,"Till skillnad mot Hold'em är Omaha Hi ett spel med stora drag. Med fyra startkort är den genomsnittliga vinnande handen i PLO dessutom mycket starkare. Därför ska du vara väldigt kräsen när du väljer en hand att spela. När du gör dina drag kan du sikta på att få händer i följd, som A♥K♣J♣10♥ som kan bli nut-stegar och färger."
Omaha HI/LO,Tip 1,omaha_hi_lo_tip_1,"It is important to remember that the low hand always counts downwards from the highest card first. 

For example, here are two low hands: 

a) 8 - 4 - 3 - 2 - A and b) 7 - 6 - 5 - 4 - 3

Example ‘b’ is a better low hand – even without an ace, because the highest card in that hand is a 7. Whereas in example ‘a’, the highest low-card is an 8. 

If the highest low-cards in all low combinations are the same, the next highest card down will be the tiebreaker. For example, 8 - 4 - 3 - 2 - A and 8 - 5 - 3 - 2 – A. The first low hand wins, because the second low card is a 4, which is lower than the 5 in the second example. 

It is also possible for two or more players to have identical low hands. For example, 8-7-6-5-4 and 8-7-6-5-4. In this case, the 50% of the pot allocated to the best low hand would be split between those two players. They would each receive 25% of the pot.",,Tip 1,"It is important to remember that the low hand always counts downwards from the highest card first. 

For example, here are two low hands: 

a) 8 - 4 - 3 - 2 - A and b) 7 - 6 - 5 - 4 - 3

Example ‘b’ is a better low hand – even without an ace, because the highest card in that hand is a 7. Whereas in example ‘a’, the highest low-card is an 8. 

If the highest low-cards in all low combinations are the same, the next highest card down will be the tiebreaker. For example, 8 - 4 - 3 - 2 - A and 8 - 5 - 3 - 2 – A. The first low hand wins, because the second low card is a 4, which is lower than the 5 in the second example. 

It is also possible for two or more players to have identical low hands. For example, 8-7-6-5-4 and 8-7-6-5-4. In this case, the 50% of the pot allocated to the best low hand would be split between those two players. They would each receive 25% of the pot.",Tipp 1,"Es ist wichtig, daran zu denken, dass die niedrige Hand stets von der höchsten Karte abwärts gezählt wird.

Dies sind beispielsweise zwei niedrige Hände:

a) 8 – 4 – 3 – 2 – A und b) 7 – 6 – 5 – 4 – 3

Beispiel „b“ ist die bessere niedrige Hand – auch ohne ein Ass, da die höchste Karte in dieser Hand die 7 ist. Im zweiten Beispiel ist die höchste niedrige Karte hingegen die 8.

Wenn die höchsten niedrigen Karten in allen niedrigen Händen identisch sind, entscheidet die nächsthöchste Karte unterhalb dieser. Sehen Sie sich beispielsweise 8 – 4 – 3 – 2 – A und 8 – 5 – 3 – 2 – A. an. Die erste niedrige Hand gewinnt, da die zweite niedrige Karte eine 4 ist. Diese ist niedriger als die 5 im zweiten Beispiel.

Es ist auch möglich, dass zwei oder mehr Spieler identische niedrige Hände haben. Das ist beispielsweise der Fall, wenn zwei Spieler 8 –7 – 6 – 5 – 4 und 8 –7 – 6 – 5 – 4 bilden. In diesem Fall würden die 50 % des Pot, die der besten niedrigen Hand zufallen, unter diesen beiden Spielern aufgeteilt. Jeder dieser beiden Spieler würde 25 % des Pot erhalten.
",Consejo 1,"Es importante recordar que la mano baja se cuenta hacia abajo desde la carta más alta. 

Por ejemplo, aquí tienes dos manos bajas:

a) 8 - 4 - 3 - 2 - A 
b) 7 - 6 - 5 - 4 - 3

En el ejemplo, la mano ‘b’ es mejor mano baja, incluso sin el as, porque la carta más alta de su mano es el 7, mientras que en la mano ‘a’ la carta más alta es el 8,

Si las más altas de las cartas bajas son las mismas, la siguiente carta alta será la que desempate. Por ejemplo, 8 - 4 - 3 - 2 - A y 8 - 5 - 3 - 2 – A. La primera mano gana porque la segunda carta es el cuatro, que es más pequeña que el cinco de la segunda mano.

Es posible que dos o más jugadores tengan la misma mano baja. Por ejemplo, 8-7-6-5-4 y 8-7-6-5-4. En este caso, el 50% del bote destinado al mejor bajo se reparte entre estos dos jugadores. Recibirían un 25% del bote total.",,,,,Dica 1,"É importante lembrar que a mão baixa sempre conta da carta mais alta para baixo.

Por exemplo, aqui estão duas mãos baixas:

a) 8 – 4 – 3 – 2 – A e b) 7 – 6 – 5 – 4 – 3

No exemplo ""b"" temos uma mão baixa melhor – mesmo sem um às, pois a carta mais alta na mão é um 7. Considerando que, no exemplo ""a"", a carta baixa mais alta é um 8.

Se as cartas baixas mais altas em todas as combinações são as mesmas, a próxima carta mais alta será o critério de desempate. Por exemplo, 8 – 4 – 3 – 2 – A e 8 – 5 – 3 – 2 – A. A primeira mão baixa vence, porque a segunda carta baixa é um 4, que é mais baixa que 5 no segundo exemplo.

Também é possível que dois ou mais jogadores tenham mãos baixas idênticas. Por exemplo, 8–7–6–5–4 e 8–7–6–5–4. Neste caso, 50% do pote alocado para a melhor mão baixa seria dividido entre esses dois jogadores. Cada um receberia 25% do pote.",Conseil 1,"Il est important de se rappeler que la main faible se compte toujours vers le bas à partir de la carte la plus forte.

Par exemple, voici deux mains faibles :

a) 8 - 4 - 3 - 2 - A et b) 7 - 6 - 5 - 4 - 3

L’exemple « b » possède une meilleure main faible, même sans as, car la carte la plus forte dans cette main est un 7. Tandis que dans l’exemple « a », la carte faible la plus forte est un 8.

Si les cartes faibles les plus fortes de toutes les combinaisons faibles sont les mêmes, la carte la plus forte inférieure sera décisive. Par exemple, 8 - 4 - 3 - 2 - A et 8 - 5 - 3 - 2 - A. La première main faible l’emporte car la seconde carte faible est un 4, qui est inférieur au 5 du second exemple.

Il est également possible que deux joueurs ou plus aient des mains faibles identiques. Par exemple, 8-7-6-5-4 et 8-7-6-5-4. Dans ce cas, les 50 % du pot attribués à la main la plus faible sont partagés entre ces deux joueurs. Chacun recevra donc 25 % du pot.",Tips 1,"Det är viktigt att tänka på att den låga handen räknas nedåt med det högsta kortet först.

Här är två exempel på låga händer:

a) 8–4–3–2–A och b) 7–6–5–4–3

Exempel b är en bättre låg hand, till och med utan ett ess, därför det högsta kortet i handen är 7. I exempel a är nämligen det högsta låga kortet 8.

Om de högsta låga korten i alla låga händer är samma blir det näst högsta kortet nedåt avgörande. Exempel: 8–4–3–2–A och 8–5–3–2–A. Den första låga handen vinner eftersom det näst lägsta kortet är 4, och det är lägre än 5 i det andra exemplet.

Två eller flera spelare kan också ha identiska låga händer, till exempel 8–7–6–5–4 och 8–7–6–5–4. I så fall får dessa spelare dela på den halva av potten som är avsedd för den bästa låga handen. De får då alltså 25 % var av hela potten."
Omaha HI/LO,Tip 2,omaha_hi_lo_tip_2,"If you are already familiar with Texas Hold'em rules, Omaha can seem very similar. However, it is very important to remember that a player must use any two – but only two - of their four hole cards along with any three of the community cards to form a hand.",,Tip 2,"If you are already familiar with Texas Hold'em rules, Omaha can seem very similar. However, it is very important to remember that a player must use any two – but only two - of their four hole cards along with any three of the community cards to form a hand.",Tipp 2,"Wenn Sie sich bereits mit den Regeln für Texas Hold'em auskennen, dann scheint Omaha sehr ähnlich zu sein. Es ist jedoch wichtig, daran zu denken, dass ein Spieler zwei – und nur zwei – seiner vier Taschenkarten zusammen mit drei Gemeinschaftskarten verwenden darf, um eine Hand zu bilden.",Consejo 2,"Si conoces las reglas de Texas Hold’em, Omaha es bastante similar. Pero no hay que olvidar que debes usar dos, y solo dos, cartas de las cuatro particulares junto a tres de las cinco cartas comunitarias para formar la mano.",,,,,Dica 2,"Se você já estiver familiarizado com as regras do Texas Hold'em, o Omaha pode parecer muito similar. No entanto, é muito importante se lembrar que um jogador deve usar duas – mas só duas – das suas quatro cartas fechadas com três cartas da mesa para formar uma mão.",Conseil 2,"Si vous connaissez déjà bien les règles du Texas Hold’em, l’Omaha peut paraître très semblable. Toutefois, il est important de se rappeler qu’un joueur doit utiliser deux, et seulement deux, de ses quatre cartes fermées en combinaison avec trois des cartes communautaires pour constituer une main.",Tips 2,Om du redan känner till reglerna i Texas Hold'em kan Omaha verka väldigt likt. Men då ska man komma ihåg att en spelare måste använda två – och endast två – valfria av sina fyra hålkort tillsammans med tre valfria gemensamma kort för att sätta ihop en hand.
7 Card Stud,Tip 1,seven_card_stud_tip_1,"There are no community cards in a game of Seven Card Stud, unless, all 8 players remain active until the river round. There wouldn't be enough cards in the deck for each player to receive a final face down card. Therefore, one face-up community card is dealt on the poker table for all player to use to make a hand.",,Tip 1,"There are no community cards in a game of Seven Card Stud, unless, all 8 players remain active until the river round. There wouldn't be enough cards in the deck for each player to receive a final face down card. Therefore, one face-up community card is dealt on the poker table for all player to use to make a hand.",Tipp 1,"Beim Seven Card Stud gibt es keine Gemeinschaftskarten, es sei denn, alle 8 Spieler bleiben bis zur River-Runde im Spiel. In dem Fall wären nicht mehr genügend Karten im Stapel übrig, um jedem Spieler abschließend eine eigene verdeckte Karte auszuteilen. Daher wird eine Gemeinschaftskarte offen auf den Tisch gelegt, die alle Spieler für die Zusammenstellung ihrer Pokerhand nutzen können.","Consejo 1","No hay cartas comunitarias en una mano de Seven Card Stud, a no ser que los 8 jugadores estén activos en el river. No habría cartas suficientes para dar una carta a cada una, así que se pone una carta comunitaria para todas.",,,,,1ª dica,"Não há cartas da mesa ou comunitárias no jogo de Seven Card Stud, a menos que todos os 8 jogadores continuem ativos até o river. Não haveria cartas suficientes no baralho para cada jogador receber uma carta final virada para baixo. Portanto, uma carta seria virada na mesa (carta da mesa ou comunitária) para que todos os jogadores a usassem na mão.",Conseil 1,"Il n'existe pas de cartes communautaires dans un jeu de Seven Card Stud, sauf si tous les 8 joueurs restent actifs jusqu'au tour de la rivière. Il ne resterait pas suffisamment de cartes dans le paquet pour que chaque joueur reçoive une carte fermée finale. Par conséquent, une carte communautaire découverte est distribuée sur la table de poker pour que tous les joueurs puissent l'utiliser pour constituer leur main.",Tips 1,"Det finns inga gemensamma kort i Seven Card Stud, om inte alla 8 spelarna är kvar till river-omgången. Korten i leken skulle inte räcka för att ge varje spelare ett sista nedåtvänt kort. Därför delas ett gemensamt uppåtvänt kort ut på pokerbordet, detta kort använder alla spelare för att skapa en hand."
7 Card Stud,Tip 2,seven_card_stud_tip_2,"The dealer position in a game of Seven Card Stud is not as important as in other poker games, because it does not determine the order of action. In Seven Card Stud, the first player to act starting from Fourth Street is the player with the highest-valued door cards. ",,Tip 2,"The dealer position in a game of Seven Card Stud is not as important as in other poker games, because it does not determine the order of action. In Seven Card Stud, the first player to act starting from Fourth Street is the player with the highest-valued door cards. ",Tipp 2,"Die Position des Dealers ist beim Seven Card Stud nicht so wichtig wie bei anderen Pokervarianten, da diese Position nicht bestimmt, wer dran ist. Beim Seven Card Stud werden die Einsatzrunden ab der Fourth Street von dem Spieler mit den höchsten Door Cards eröffnet.","Consejo 2","La posición de dealer en Seven Card Stud no es tan importante como en otras modalidades, porque no determina el orden de la acción. En Seven Card Stud el primer jugador desde la cuarta calle es el que tiene la mejor jugada en las cartas vistas.",,,,,2ª dica,"A posição do dealer em um jogo de Seven Card Stud não é tão importante como em outros jogos de pôquer, pois não determina a ordem da ação. No Seven Card Stud, o primeiro jogador a jogar a partir da segunda carta aberta (Fourth Street) é aquele com as cartas de entrada (door cards) de maior valor.",Conseil 2,"La place de croupier dans un jeu de Seven Card Stud n'est pas aussi importante que dans d'autres jeux de poker car elle ne détermine pas l'ordre de l'action. Au Seven Card Stud, le premier joueur à agir en commençant à partir de la Quatrième Rue est celui ayant les cartes découvertes les plus hautes.",Tips 2,Dealer-position i Seven Card Stud är inte lika viktig som i andra pokerspel eftersom det inte avgör åtgärdsordningen. I Seven Card Stud är det från och med fjärde gatan spelaren med de högst värderade dörrkorten som agerar.
SNAP,Tip 1,snap_tip_1,"In SNAP, you start each hand at a new table with different players, so you don't get to know your opponents in the same way as you would in other types of poker games. However, you can use this to your advantage and play more aggressively. Remember that your opponents don’t know what type of player you are either, so you can bluff or raise with a bit more confidence, even if you don’t have the best cards. ",,Tip 1,"In SNAP, you start each hand at a new table with different players, so you don't get to know your opponents in the same way as you would in other types of poker games. However, you can use this to your advantage and play more aggressively. Remember that your opponents don’t know what type of player you are either, so you can bluff or raise with a bit more confidence, even if you don’t have the best cards. ",Tipp 1,"Bei SNAP beginnen Sie jede Hand an einem neuen Tisch mit anderen Spieler, sodass Sie sich mit Ihren Gegenspielern nicht in derselben Weise vertraut machen können, wie es bei anderen Arten von Pokerspielen möglich ist. Diese Tatsache können Sie jedoch zu Ihrem Vorteil nutzen und aggressiver spielen. Denken Sie daran, dass Ihre Gegenspieler nicht wissen, welche Art von Spieler Sie sind. Sie können also etwas überzeugender bluffen oder erhöhen, auch wenn Sie nicht die besten Karten haben. ","Consejo 1","En SNAP, cada mano comienzas en una nueva mesa con jugadores distintos, así que no llegas a conocer a los rivales de la misma forma que en otras formas de juego. Sin embargo, puedes usar esto en tu favor y jugar más agresivo. Recuerda que tus oponentes tampoco saben qué tipo de jugador eres, así que puedes farolear o subir con más confianza, incluso cuando no tienes las mejores cartas.",,,,,1ª dica,"No SNAP, você começa cada mão em uma nova mesa com jogadores diferentes; então, não consegue conhecer seus adversários da mesma maneira que conheceria em outros tipos de jogos de pôquer. Mas, você pode usar isso como vantagem e jogar com mais agressividade. Lembre-se de que seus adversários também não sabem o tipo de jogador que você é; portanto, você pode blefar ou aumentar com um pouco mais de confiança, mesmo que não tenha as melhores cartas. ",Conseil 1,"Au SNAP, vous commencez chaque main à une nouvelle table avec des joueurs différents, ainsi vous n'apprenez pas à connaître vos adversaires de la même manière que vous le feriez dans les autres types de jeux de poker. Cependant, vous pouvez utiliser cela à votre avantage et jouer de manière plus agressive. N'oubliez pas que vos adversaires ne connaissent pas le type de joueur que vous êtes non plus, ainsi vous pouvez bluffer ou relancer avec un peu plus de confiance, même si vous ne disposez pas des meilleures cartes. ",Tips 1,I SNAP inleder du varje hand vid ett nytt bord med olika spelare så du lär inte känna dina motståndare på samma sätt som i andra typer av pokerspel. Du kan använda detta till din fördel och spela mer aggressivt. Kom i håg att dina motståndare inte vet vilken typ av spelare du är heller så du kan bluffa eller höja med lite mer självförtroende även om du inte har de bästa korten.
