stage_id,title,order,step_id,left,top,description,en_title,en_description,de_title,de_description,es_title,es_description,dk_title,dk_description,,,br_title,br_description,fr_title,fr_description,sv_title,sv_description
texas_holdem_deal,Dealer,1,texas_holdem_deal_1,28,10,"The Dealer is a table position assigned to the player who acts last in all betting rounds except pre-flop – as long as they choose to play the hand. It is also known as the ‘dealer button’ or simply the ‘button’ and is indicated by a ‘D’ marker. The dealer position is important because it determines the order in which players can act.

The dealer is known to be the best table position. The player in the dealer position can observe the actions of their opponents before it's their turn to act. It allows the player to analyse their opponents and make decisions based on their previous actions.

No need to worry if you are not chosen as the dealer at the beginning of a game. The dealer button rotates clockwise one position around the table after each hand. At the end of a hand, the player to the left of the current dealer button becomes the dealer for the next round.",Dealer,"The Dealer is a table position assigned to the player who acts last in all betting rounds except pre-flop – as long as they choose to play the hand. It is also known as the ‘dealer button’ or simply the ‘button’ and is indicated by a ‘D’ marker. The dealer position is important because it determines the order in which players can act.

The dealer is known to be the best table position. The player in the dealer position can observe the actions of their opponents before it's their turn to act. It allows the player to analyse their opponents and make decisions based on their previous actions.

No need to worry if you are not chosen as the dealer at the beginning of a game. The dealer button rotates clockwise one position around the table after each hand. At the end of a hand, the player to the left of the current dealer button becomes the dealer for the next round.",Dealer,"Der Dealer ist eine Tischposition, die dem Spieler zugewiesen wird, der in allen Einsatzrunden als letztes agiert - mit Ausnahme der Runde vor dem Flop - vorausgesetzt, dass sich der Spieler dazu entscheidet seine Hand zu spielen. Sie ist auch bekannt als ‘Dealer-Button’ oder einfach nur ‘Button’ und wird mit einem ‘D’-Marker gekennzeichnet. Die Dealerposition ist wichtig, da sie die Reihenfolge bestimmt, in der die Spieler agieren können.

Der Dealer wird als die beste Tischposition angesehen. Der Spieler auf der Dealerposition kann die Aktionen aller Gegenspieler beobachten, bevor er am Zug ist. Dies erlaubt es dem Spieler, seine Gegenspieler zu analysieren und Entscheidungen auf der Grundlage ihrer vorherigen Aktionen zu treffen.

Doch es besteht kein Grund zur Sorge, falls Sie nicht zu Spielbeginn als Dealer bestimmt werden. Nach jeder Hand wandert der Dealer-Button im Uhrzeigersinn eine Position um den Tisch weiter. Nach jeder Hand wird der Spieler links vom derzeitigen Dealer-Button zum Dealer der nächsten Runde.",Dealer,"El dealer es la posición en la mesa asignada al jugador que actúa el último en todas las rondas de apuestas excepto pre-flop, siempre que se llegue a jugar la mano. También se conoce como el botón y se indica con una D. Esta posición es importante porque indica en qué orden actúan los jugadores. 

El dealer es la mejor posición de la mesa. El jugador en el botón puede observar las acciones de sus oponentes antes de que sea su turno de hablar. Permite que el jugador analice a sus rivales y tome su decisión basándose en estas acciones.

No te preocupes si no eres el dealer al comenzar el juego. El botón se mueve en el sentido de las agujas del reloj al final de cada mano. Cuando termine la mano, el jugador a la izquierda del botón será el dealer en la siguiente mano.",Dealer,"Dealeren er den position ved bordet, hvor den spiller sidder, der agerer sidst i alle indsatsrunder bortset fra preflop – så længe vedkommende vælger at spille hånden. Dealeren kaldes også ""dealerknappen"" eller bare ""knappen"", fordi den pågældende spiller tildeles en markør med et ""D"" på. Dealerpositionen er vigtig, fordi den afgør, i hvilken rækkefølge spillerne kan agere.

Dealeren anses for at være den bedste position ved bordet. Spilleren i dealerpositionen kan observere alle de øvrige spilleres handlinger, inden vedkommende selv skal agere. Det giver den pågældende spiller mulighed for at analysere sine modstandere og foretage valg, ud fra hvad de tidligere har gjort.

Der er dog ingen skade sket, hvis du ikke udpeges som dealer, når spillet går i gang. Dealerknappen roterer én position med uret rundt om bordet efter hver hånd. Når en hånd er slut, overtages dealerknappen og positionen som dealer i den næste runde af spilleren til venstre for den aktuelle dealer.",,,Dealer,"O dealer é a posição do jogador que joga por último em todas as rodadas de apostas, exceto no pré-flop, contanto que ele escolha jogar a mão. Também é conhecida como o ""botão dealer"", ou simplesmente o ""botão"", e é indicada com um marcador ""D"". A posição do dealer é importante, porque determina a ordem em que os jogadores podem jogar.

O dealer é considerado a melhor posição da mesa. O jogador na posição de dealer pode observar as ações dos seus adversários antes de chegar a sua vez. Isso permite que o jogador analise seus adversários e tome decisões com base nas ações anteriores.

Não precisa se preocupar se você não tiver sido escolhido como dealer no início de um jogo. O botão dealer gira uma posição no sentido horário ao redor da mesa a cada mão. No fim de uma mão, o jogador à esquerda do botão dealer atual torna-se o dealer na próxima rodada.",Croupier,"Le croupier est une place assignée au joueur qui sera le dernier à miser à tous les tours, à l’exception du pré-flop, à condition qu’il décide de jouer la main. Il est aussi connu comme le « bouton croupier », ou tout simplement le « bouton », marqué par un « D ». La place du croupier est importante, car elle détermine l’ordre dans lequel les joueurs peuvent miser.

La place du croupier est reconnue comme la meilleure de la table. Le joueur qui joue à cette place peut observer les actions de ses adversaires avant de miser. Il peut donc analyser ses adversaires et prendre des décisions selon leurs actions.

Ne vous inquiétez pas si vous ne commencez pas la partie à la place du croupier. Le bouton croupier se déplace dans le sens des aiguilles d’une montre après chaque main. À la fin d’une main, le joueur qui est à la gauche du bouton croupier actuel devient le croupier pour la prochaine ronde.",Given,"Given är en bordsposition som tilldelas den spelare som agerar sist i alla satsningsrundor, utom före floppen, förutsatt att spelaren väljer att spela den handen. Positionen kallas också ”givenknappen”, eller ”knappen” kort och gott, och märks ut med en D-markör. Givenpositionen är viktig eftersom den avgör den turordning som spelarna agerar i.

Given anses vara bordets bästa position. Spelaren i givenpositionen kan iaktta motståndarnas ageranden innan det blir hans eller hennes tur att agera. Spelaren får då tillfälle att analysera motståndarna och fatta beslut utifrån deras föregående ageranden.

Ingen fara om det inte är du som har given när spelet börjar. Givenknappen cirkulerar medurs runt bordet, en position i taget, efter varje hand. När en hand är färdigspelad är det spelaren till vänster om den aktuella knappen som får given i nästa runda."
texas_holdem_deal,Small Blind,2,texas_holdem_deal_2,79,10,"The small blind, marked as SB, is the first of the two initial forced bets in a game of Texas Hold'em. It is placed by the player immediately to the left of the dealer, and rotates after each hand to the next player, in a clockwise fashion. In a $10/$20 No Limit (NLHE) game, the small blind is equal to $10. However, in a Fixed Limit NLHE game, the SB is equal to one-half of the selected table’s lower betting limit. For example, if a table’s betting stake is $10/$20, the small blind would be $5.",Small Blind,"The small blind, marked as SB, is the first of the two initial forced bets in a game of Texas Hold'em. It is placed by the player immediately to the left of the dealer, and rotates after each hand to the next player, in a clockwise fashion. In a $10/$20 No Limit (NLHE) game, the small blind is equal to $10. However, in a Fixed Limit NLHE game, the SB is equal to one-half of the selected table’s lower betting limit. For example, if a table’s betting stake is $10/$20, the small blind would be $5.",Small Blind,"Der Small Blind, mit SB gekennzeichnet, ist der erste der beiden Eröffnungseinsätze in einem Texas Hold'em-Spiel. Er wird vom Spieler unmittelbar links vom Dealer getätigt und rotiert nach jeder Hand im Uhrzeigersinn zum nächsten Spieler weiter. In einem $ 10/$ 20 No Limit (NLHE)-Spiel beträgt der Small Blind $ 10. In einem Fixed Limit NLHE-Spiel beträgt der SB im Gegensatz dazu die Hälfte des unteren Einsatzlimits des ausgewählten Tisches. Wenn zum Beispiel die Einsatzhöhen eines Tisches bei $ 10/$ 20 liegen, dann beträgt der Small Blind $ 5.",Ciega pequeña,"La ciega pequeña, indicada como SB, es la primera de las dos apuestas iniciales obligatorias en una partida de Texas Hold'em. La pone el jugador a la izquierda del dealer y va rotando, en el sentido de las agujas del reloj, en cada mano al siguiente jugador. En una partida de 10/20 de Hold’em sin límite, la ciega pequeña es de 10. Sin embargo en Hold’em con límite, la ciega pequeña es la mitad de la apuesta pequeña, si las apuestas son 10/20, la ciega pequeña es de 5.",Small blind,"Small blind markeres som SB og er den første af de to indledende tvungne indsatser i et spil Texas Hold'em. Small blind placeres af spilleren umiddelbart til venstre for dealeren og roterer med uret efter hver hånd til den næste spiller. I et spil 10 $/20 $ No Limit (NLHE) udgør small blind 10 $. I et spil Fixed Limit NLHE udgør SB imidlertid halvdelen af bordets nedre indsatsgrænse. Hvis bordets indsatsgrænse f.eks. er 10 $/20 $, udgør small blind 5 $.",,,Small blind,"O small blind, ou SB, é a primeira das duas apostas obrigatórias iniciais no Texas Hold'em. Essa aposta é feita pelo jogador imediatamente à esquerda do dealer e gira depois de cada mão para o jogador seguinte, no sentido horário. Em um jogo No Limit (NLHE) de $10/$20, o small blind é igual a $10. No entanto, em um jogo Fixed Limit NLHE, o SB é igual à metade do menor limite de apostas da mesa selecionada. Por exemplo, se o limite de apostas de uma mesa é de $10/$20, o small blind é de $5.",Small Blind,"Le small blind, indiqué par SB, est la première des deux enchères forcées au Texas Hold'em. Il est placé par le joueur qui est immédiatement à gauche du croupier, et sera placé par le joueur suivant après chaque main, dans le sens des aiguilles d’une montre. Dans un jeu No Limit (NLHE) à 10 $/20 $, le small blind est égal à 10 $. Néanmoins, dans un jeu Fixed Limit (NLHE), le SB est égal à la moitié de la mise minimale de la table. Par exemple, si l’enjeu sur la table est de 10 $/20 $, le small blind sera de 5 $.",Lilla mörken,"Lilla mörken, som märks ut med en SB-markör, är den första av de två inledande tvingande insatserna i ett parti Texas Hold'em. Den är placerad framför spelaren direkt till vänster om given och cirkulerar ett steg medurs efter varje hand till nästa spelare. I ett 10 $/20 $-No limit-spel (NLHE) är lilla mörken lika med 10 $. I ett Fixed limit NLHE-spel är dock SB lika med hälften av bordets lägre insatsgräns. Till exempel, om bordets spelinsats är 10 $/20 $, är lilla mörkens värde 5 $."
texas_holdem_deal,Big Blind,3,texas_holdem_deal_3,91,64,"The big blind, marked as BB, is the second of the two initial mandatory bets. It is placed by the player immediately to the left of the small blind, and rotates after each hand to the next player, in a clockwise fashion. In a $10/$20 No Limit (NLHE) game, the big blind is equal to $20. However, in a Fixed Limit NLHE game, the BB is equal to the selected table’s lower betting limit. For example, if a table’s betting stake is $10/$20, the small blind would be $10.
In NLHE games, the amount of the big blind is also the minimum bet in the current betting round. The small and big blinds are important because they incite the action and get the game going, since there's already money to vie for in the pot. ",Big Blind,"The big blind, marked as BB, is the second of the two initial mandatory bets. It is placed by the player immediately to the left of the small blind, and rotates after each hand to the next player, in a clockwise fashion. In a $10/$20 No Limit (NLHE) game, the big blind is equal to $20. However, in a Fixed Limit NLHE game, the BB is equal to the selected table’s lower betting limit. For example, if a table’s betting stake is $10/$20, the small blind would be $10.
In NLHE games, the amount of the big blind is also the minimum bet in the current betting round. The small and big blinds are important because they incite the action and get the game going, since there's already money to vie for in the pot. ",Big Blind,"Der Big Blind, mit BB gekennzeichnet, ist der zweite der beiden obligatorischen Eröffnungseinsätze. Er wird vom Spieler unmittelbar links vom Small Blind getätigt und rotiert nach jeder Hand im Uhrzeigersinn zum nächsten Spieler weiter. In einem $ 10/$ 20 No Limit (NLHE)-Spiel beträgt der Big Blind $ 20. In einem Fixed Limit NLHE-Spiel ist der BB hingegen so hoch wie das untere Einsatzlimit des ausgewählten Tisches. Wenn zum Beispiel die Einsatzhöhen eines Tisches bei $ 10/$ 20 liegen, dann beträgt der Big Blind $ 10.

In NLHE-Spielen gilt die Höhe des Big Blinds gleichzeitig als minimaler Einsatz der derzeitigen Einsatzrunde. Small und Big Blind sind wichtig, da sie zu Aktionen animieren und das Spiel ins Rollen bringen, da so bereits Geld im Pot ist, um das gespielt werden kann. ",Ciega grande,"La ciega grande, indicada como BB, es la segunda apuesta inicial obligatoria. La pone el jugador a la izquierda de la ciega pequeña y va rotando, en el sentido de las agujas del reloj, en cada mano al siguiente jugador. En una partida de 10/20 de Hold’em sin límite, la ciega grande es 20. Sin embargo en Hold’em con límite, la ciega grande es igual a la apuesta pequeña, si las apuestas son 10/20, la ciega grande es 10.

En Hold’em sin límite, la cantidad de la ciega grande es también la apuesta mínima en cada ronda de apuestas. Las ciegas, grande y pequeña, son importantes porque incitan a la acción y hacen que funcione el juego porque hay fichas en el bote.",Big blind,"Big blind markeres som BB og er den anden af de to indledende obligatoriske indsatser. Big blind placeres af spilleren umiddelbart til venstre for small blind og roterer med uret efter hver hånd til den næste spiller. I et spil 10 $/20 $ No Limit (NLHE) udgør big blind 20 $. I et spil Fixed Limit NLHE svarer BB imidlertid til bordets nedre indsatsgrænse. Hvis bordets indsatsgrænse f.eks. er 10 $/20 $, udgør big blind 10 $.

I NLHE er størrelsen på big blind også minimumindsatsen i den aktuelle indsatsrunde. Small og big blind er vigtige, fordi de tilskynder til handling og sætter gang i spillet ved at sørge for, at der er penge i puljen. ",,,Big blind,"O big blind, ou BB, é a segunda das duas apostas obrigatórias iniciais. Essa aposta é feita pelo jogador imediatamente à esquerda do small blind e gira depois de cada mão para o jogador seguinte, no sentido horário. Em um jogo No Limit (NLHE) de $10/$20, o big blind é igual a $20. No entanto, em um jogo Fixed Limit NLHE, o BB é igual ao menor limite de apostas da mesa selecionada. Por exemplo, se o limite de apostas de uma mesa é de $10/$20, o small blind é de $10.

Em jogos NLHE, o montante do big blind também é a aposta mínima na rodada de apostas atual. O small blind e o big blind são importantes porque incitam a ação e fazem o jogo continuar, uma vez que já há dinheiro para disputar no pote. ",Big Blind,"Le big blind, indiqué par BB, est la seconde des deux enchères forcées. Il est placé par le joueur qui est immédiatement à la gauche du small blind, et sera placé par le joueur suivant après chaque main, dans le sens des aiguilles d’une montre. Dans un jeu No Limit (NLHE) à 10 $/20 $, le big blind est égal à 20 $. Néanmoins, dans un jeu Fixed Limit (NLHE), le BB est égal à la mise minimale de la table. Par exemple, si l’enjeu sur la table est de 10 $/20 $, le small blind sera de 10 $.

Dans les jeux NLHE, le montant du big blind est aussi le montant de la mise minimale du tour d’enchère en cours. Le small et le big blinds sont importants, car ils incitent les joueurs à miser et à rester dans la partie, étant donné qu’il y a déjà de l’argent dans le pot. ",Stora mörken,"Stora mörken, som märks ut med en BB-markör, är den andra av de två inledande tvingande insatserna. Den är placerad framför spelaren direkt till vänster om lilla mörken och cirkulerar ett steg medurs efter varje hand till nästa spelare. I ett 10 $/20 $-No limit-spel (NLHE) är stora mörken lika med 20 $. I ett Fixed limit NLHE-spel är dock BB lika med bordets lägre insatsgräns. Till exempel, om bordets spelinsats är 10 $/20 $, är lilla mörkens värde 10 $.

I NLHE-spel är beloppet för stora mörken också den lägsta insatsen i den aktuella satsningsrundan. Lilla och stora mörken är viktiga eftersom de framkallar ageranden och får igång spelet – det finns ju redan pengar att kämpa om i potten. "
texas_holdem_deal,Hole cards,4,texas_holdem_deal_4,56,50,"After the small and big blinds are posted, each player gets two face-down cards. These are the players’ individual cards, also known as hole cards.",Hole cards,"After the small and big blinds are posted, each player gets two face-down cards. These are the players’ individual cards, also known as hole cards.",Taschenkarten,"Nachdem Small und Big Blind gesetzt sind, erhält jeder Spieler verdeckt zwei Karten. Dies sind die individuellen Karten des Spielers, auch als „Taschenkarten“ bezeichnet.",Cartas particulares,"Después de que se hayan puesto las ciegas, cada jugador recibe dos cartas boca abajo. Estas son las cartas individuales de cada jugador, conocidas como cartas particulares.",Hole cards,"Når small og big blind er lagt ud, modtager hver spiller to kort med billedsiden nedad. Dette er spillerens individuelle kort, de såkaldte ""hole cards"".",,,Cartas fechadas,"Após definir o small blind e o big blind, cada jogador recebe duas cartas viradas para baixo. Essas são as cartas individuais dos jogadores, também conhecidas como cartas fechadas.",Cartes fermées,"Après que les small et big blinds sont placés, chaque joueur reçoit deux cartes, face cachée. Ce sont les cartes individuelles des joueurs, aussi appelées cartes fermées.",Hålkort,"Efter lilla och stora mörken får varje spelare två nedåtvända kort. Dessa är spelarens enskilda kort, de så kallade hålkorten."
texas_holdem_pre_flop,First player to act,1,texas_holdem_pre_flop_1,94,90,"The betting action starts with the player to the left of the big blind. The position of the player who acts first in the pre-flop round is known as ‘under the gun’ (UTG). It is considered to be the weakest table position, because the UTG player has to make decisions with no prior information about their opponents' play.",First player to act,"The betting action starts with the player to the left of the big blind. The position of the player who acts first in the pre-flop round is known as ‘under the gun’ (UTG). It is considered to be the weakest table position, because the UTG player has to make decisions with no prior information about their opponents' play.",Erster Spieler mit Spielrecht,"Der Spieler links vom Big Blind ist der erste Spieler mit Spielrecht. Die Position des Spielers, der in der Pre-Flop-Runde zuerst agieren muss, ist auch unter der Bezeichnung ‘under the gun’ (UTG) bekannt. Sie wird als die schwächste Tischposition angesehen, da der Spieler auf der UTG-Position Entscheidungen ohne Informationen bzgl. der Spielweise seiner Gegenspieler treffen muss.",Primer jugador en actuar,La ronda de apuestas comienza con el jugador a la izquierda de la ciega grande. La posición del jugador que actúa el primero preflop se conoce como UTG (under the gun). Se considera la posición más débil de todas porque tiene que tomar sus decisiones sin información previa de sus rivales.,Første spiller til at agere,"Spilleren til venstre for big blind indleder indsatsrunden. Positionen for den spiller, der foretager den første handling preflop, kaldes ""under the gun"" (UTG). Den anses for at være den svageste position ved bordet, fordi spilleren, der er UTG, skal foretage sine valg uden at kende noget som helst til sine modstanderes spil.",,,O primeiro jogador a jogar,"A ação de apostas começa com o jogador à esquerda do big blind. A posição do jogador que joga primeiro na rodada de pré-flop é conhecida como ""under the gun"" (UTG). É considerada a posição mais fraca da mesa, porque o jogador UTG tem de tomar decisões sem informações prévias sobre a jogada dos seus adversários.",Premier joueur à agir,"Les enchères débutent avec le joueur assis à gauche du bouton du big blind. La place du joueur à agir le premier lors du tour pré-flop s’appelle « under the gun » (UTG). Cette place est vue comme la plus faible de la table, car le joueur UTG doit prendre une décision sans avoir d’informations à propos des jeux des autres joueurs.",Första spelaren som agerar,"Satsandet inleds av spelaren till vänster om stora mörken. Positionen för den spelare som agerar först i omgången före floppen kallas ”under the gun” (UTG). Denna position betraktas som bordets svagaste, eftersom UTG-spelaren måste fatta beslut utan föregående vetskap om sina motståndares spel."
texas_holdem_pre_flop,Call,2,texas_holdem_pre_flop_2,70,90,"To call is to match the bet made by the previous player. The first bet after the big blind needs to match the big blind, or raise it.",Call,"To call is to match the bet made by the previous player. The first bet after the big blind needs to match the big blind, or raise it.",Mitgehen,"Mitgehen bedeutet, den gleichen Einsatz wie der vorherige Spieler zu setzen. Der erste Einsatz nach dem Big Blind muss genauso hoch sein wie der Big Blind oder höher.",Pagar,Pagar es igualar la apuesta hecha por otro jugador. La primera apuestas después de la ciega grande tiene que igualar esta o subirla.,Call,At calle betyder at matche den forudgående spillers indsats. Den første indsats efter big blind skal matche eller raise big blind.,,,Pagar,Pagar é corresponder à aposta do jogador anterior. A primeira aposta depois do big blind precisa corresponder ao big blind ou aumentá-lo.,Suivre,"Suivre signifie égaler l’enchère placée par le joueur précédent. Le premier joueur à miser après le big blind doit égaler le big blind, ou relancer.",Syna,Att syna innebär att matcha den föregående spelarens insats. Den första insatsen efter stora mörken måste motsvara stora mörken eller höja den.
texas_holdem_pre_flop,Fold,3,texas_holdem_pre_flop_3,29,90,To fold is to not play a hand. If you decide to fold you are no longer eligible to take part in any more betting until a new round starts.,Fold,To fold is to not play a hand. If you decide to fold you are no longer eligible to take part in any more betting until a new round starts.,Aussteigen,"Aussteigen bedeutet, eine Hand nicht zu spielen. Wenn Sie sich entscheiden Auszusteigen, dann dürfen Sie bis zur nächsten Spielrunde nicht mehr an den Setzrunden teilnehmen.",Tirarse,Tirarse es no jugar una mano. Si decides tirarte ya no puedes participar en ninguna apuesta hasta que comience una nueva mano.,Fold,"At folde betyder at give op. Hvis du folder, kan du ikke placere flere indsatser, før næste spil starter.",,,Desistir,"Desistir é não pagar uma mão. Se você desistir, não pode mais participar de nenhuma outra aposta até uma nova rodada começar.",Passer,"Passer signifie ne pas jouer la main. Si vous décidez de passer, vous ne pouvez plus miser jusqu’à la prochaine ronde.",Lägga sig,Att lägga sig innebär att man väljer att inte spela den handen. Om du lägger dig får du inte delta i vidare satsning förrän en ny omgång påbörjas.
texas_holdem_pre_flop,Raise,4,texas_holdem_pre_flop_4,6,38,"To raise is to increase the bet amount made by the previous player. If the current bet has already been raised, all the subsequent bets have to at least equal this raise amount.",Raise,"To raise is to increase the bet amount made by the previous player. If the current bet has already been raised, all the subsequent bets have to at least equal this raise amount.",Erhöhen,"Erhöhen bedeutet, den Einsatz des vorherigen Spielers zu erhöhen. Wenn der derzeitige Einsatz bereits erhöht wurde, dann müssen alle nachfolgenden Einsätze mindestens so hoch sein, wie der Betrag, um den erhöht wurde.",Subir,"Subir es aumentar la apuesta hecha por un jugador. Si la apuesta se ha subido, las siguientes apuestas tienen que ser al menos iguales a esta subida.",Raise,"At raise betyder at forøge den forudgående spillers indsats. Hvis den aktuelle indsats allerede er blevet raiset, skal alle efterfølgende indsatser svare til størrelsen af det pågældende raise som minimum.",,,Aumentar,"Aumentar é elevar o valor da aposta feita pelo jogador anterior. Se a aposta atual já foi aumentada, todas as apostas subsequentes devem pelo menos ser iguais ao valor desse aumento.",Relancer,"Relancer signifie augmenter le montant de l’enchère placée par le joueur précédent. Si la mise courante a été relancée, toutes les mises subséquentes doivent égaler ou dépasser ce montant.",Höja,Att höja innebär att satsa ett högre belopp än den föregående spelaren. Om den aktuella insatsen redan har höjts måste alla efterföljande insatser minst motsvara detta höjningsbelopp.
texas_holdem_pre_flop,End of betting,5,texas_holdem_pre_flop_5,56,50,The betting round continues until all active players have each contributed equal amounts to the pot.,End of betting,The betting round continues until all active players have each contributed equal amounts to the pot.,Ende der Setzrunde,Die Einsatzrunde wird solange fortgesetzt bis alle aktiven Spieler einen gleich hohen Betrag in den Pot eingezahlt haben.,Fin de las apuestas,La ronda de apuestas continúa hasta que todos los jugadores hayan contribuido con la misma cantidad al bote.,Afslutning af indsatsrunden,"Indsatsrunden fortsætter, indtil alle aktive spillere har bidraget med lige store beløb til puljen.",,,Fim das apostas,A rodada de apostas continua até que todos os jogadores ativos tenham contribuído com valores iguais no pote.,Fin des enchères,Le tour d’enchère continue jusqu’à ce que tous les joueurs actifs aient également contribué au pot.,Satsningen avslutas,Satsningsrundan fortsätter tills alla aktiva spelare vardera har bidragit lika till potten.
texas_holdem_flop,Flop,1,texas_holdem_flop_1,29,50,Three face-up community cards are dealt on the table.,Flop,Three face-up community cards are dealt on the table.,Flop,"Drei Gemeinschaftskarten werden offen auf dem Pokertisch ausgelegt.
",Flop,"Tres cartas comunitarias se sacan en la mesa.",Flop,Der lægges tre fælleskort på bordet med billedsiden opad.,,,Flop,Três cartas da mesa são distribuídas viradas para cima.,Flop,Trois cartes communes sont posées face visible sur la table.,Floppen,Tre uppåtvända gemensamma kort delas ut på bordet.
